Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,xAG,xG+xAG,npxG,npxG+xAG
1,Wessam Abou Ali,ps PLE,FW,eg Al Ahly,26-169,1999,2,2,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.19,2.77,1.54,2.73
2,Francesco Acerbi,it ITA,DF,it Inter,37-132,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.1,2.57,1.35,2.45
3,Marcos Acuña,ar ARG,DF,ar River Plate,33-237,1991,1,1,88,1,0,2,2,0,0,0,1,0,0,2.05,2.05,0,2.05,Matches,1.15,2.84,1.54,2.69
4,Jayden Adams,za RSA,MF,za Sundowns,24-048,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.12,2.67,1.43,2.55
5,Tosin Adarabioyo,eng ENG,DF,eng Chelsea,27-271,1997,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,1.06,2.61,1.4,2.47
6,Karim Adeyemi,de GER,FW,de Dortmund,23-155,2002,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.39,3.17,1.68,3.07
7,Luis Advíncula,pe PER,DF,ar Boca Juniors,35-112,1990,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,1.22,2.81,1.51,2.73
8,Afsha,eg EGY,MF,eg Al Ahly,29-108,1996,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0.85,1.95,1.06,1.91
9,Érick Aguirre,mx MEX,"DF,MF",mx Monterrey,28-119,1997,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0.99,2.28,1.21,2.2
10,Jorge Agustín Rodríguez,ar ARG,MF,mx Monterrey,29-280,1995,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,1.62,3.78,1.98,3.6
11,Nathan Aké,nl NED,DF,eng Manchester City,30-124,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.43,3.22,1.71,3.13
12,Kerem Aktürkoğlu,tr TUR,MF,pt Benfica,26-244,1998,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.04,2.43,1.3,2.35
13,William Alarcón,cl CHI,MF,ar Boca Juniors,24-214,2000,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.21,2.89,1.57,2.78
14,Jordi Alba,es ESP,"DF,MF",us Inter Miami,36-093,1989,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0.87,2.07,1.14,2
15,Trent Alexander-Arnold,eng ENG,DF,es Real Madrid,26-258,1998,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1.17,2.71,1.46,2.63
