Squad,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Al Ahly,55,2,22,180,2,0,0,0,0,0,1,4,0
Al Ain FC,36,1,11,90,1,0,0,0,0,0,0,1,0
Al-Hilal,48,1,11,90,1,1,0,1,0,1,1,3,0
Atlético Madrid,41.5,2,22,180,2,3,2,5,3,0,0,9,1
Auckland City,32,2,22,180,2,0,0,0,0,0,0,0,0
Bayern Munich,72,2,22,180,2,12,8,20,11,1,1,1,0
Benfica,63,2,22,180,2,8,5,13,5,3,3,5,1
Boca Juniors,33.5,2,22,180,2,3,3,6,3,0,0,5,2
Botafogo,32.5,2,22,180,2,3,3,6,3,0,0,4,0
Chelsea,57,2,22,180,2,3,2,5,3,0,0,6,1
Dortmund,55,1,11,90,1,0,0,0,0,0,0,2,0
Tunis,35.5,2,22,180,2,1,0,1,1,0,0,6,0
Flamengo,60.5,2,22,180,2,5,5,10,5,0,0,4,0
Fluminense,46,1,11,90,1,0,0,0,0,0,0,2,0
Inter,62,1,11,90,1,1,1,2,1,0,0,3,0
Inter Miami,52.5,2,22,180,2,2,1,3,2,0,0,4,0
Juventus,64,1,11,90,1,5,5,10,5,0,0,4,0
LAFC,47.5,2,22,180,2,0,0,0,0,0,1,3,0
Manchester City,68,1,11,90,1,2,1,3,2,0,0,0,1
Monterrey,38,1,11,90,1,1,1,2,1,0,0,1,0
Pachuca,50,1,11,90,1,1,0,1,1,0,0,1,0
Palmeiras,45,2,22,180,2,1,1,2,1,0,0,6,0
Paris S-G,74.5,2,22,180,2,4,2,6,3,1,1,2,0
Porto,47.5,2,22,180,2,1,0,1,0,1,1,2,0
RB Salzburg,50,1,11,90,1,2,2,4,2,0,0,0,0
Real Madrid,52,1,11,90,1,1,1,2,1,0,1,1,0
River Plate,59,1,11,90,1,3,2,5,3,0,0,4,0
Seattle Sounders,51.5,2,22,180,2,2,1,3,2,0,0,3,0
Sundowns,68,1,11,90,1,1,1,2,1,0,0,1,0
Ulsan HD,32,1,11,90,1,0,0,0,0,0,0,1,0
Urawa Reds,41,1,11,90,1,1,0,1,0,1,1,2,0
Wydad AC,32,1,11,90,1,0,0,0,0,0,0,1,0
