Squad,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,56.9,38,418,"3,420",38,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826
Aston Villa,50.5,38,418,"3,420",38,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93,720,1344
Bournemouth,48.5,38,418,"3,420",38,57,41,98,51,6,7,97,3,64,58.5,43.8,102.3,754,1489
Brentford,47.9,38,418,"3,420",38,65,44,109,60,5,6,62,1,59,54.4,42.4,96.8,598,1356
Brighton,52.3,38,418,"3,420",38,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539
Chelsea,57.1,38,418,"3,420",38,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595
Crystal Palace,42.8,38,418,"3,420",38,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158
Everton,40.9,38,418,"3,420",38,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041
Fulham,52.3,38,418,"3,420",38,53,44,97,50,3,4,80,2,49,45.9,37.5,83.4,786,1558
Ipswich Town,40.6,38,418,"3,420",38,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57,513,935
Leicester City,45.4,38,418,"3,420",38,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082
Liverpool,57.7,38,418,"3,420",38,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924
Manchester City,61.3,38,418,"3,420",38,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944
Manchester Utd,53.5,38,418,"3,420",38,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448
Newcastle Utd,51.3,38,418,"3,420",38,66,50,116,61,5,6,68,1,63.8,59.5,46,105.5,759,1595
Nott'ham Forest,41.2,38,418,"3,420",38,57,42,99,54,3,3,90,2,45.5,43.2,33,76.2,633,1125
Southampton,48.5,38,418,"3,420",38,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127
Tottenham,54.7,38,418,"3,420",38,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593
West Ham,48.4,38,418,"3,420",38,43,29,72,40,3,3,82,3,47,44.7,33.9,78.6,632,1222
Wolves,48.1,38,418,"3,420",38,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185
